# Georgetown GUTS - Dupont Circle Shuttle, weekday timetable
# Source: https://transportation.georgetown.edu/guts/dupont/
# Retrieved: 2026-08-28
#
# Columns: BTA departure | Lombardi departure | Dupont | arrive BTA | arrive Lombardi
# A trip departs from either BTA or Lombardi; the other cell is an en dash.
# Reproduced verbatim, including the source's own errors.

BTA      | Lombardi | Dupont   | Arrive BTA | Lombardi
5:45 PM  | –        | 6:05 PM  | 6:25 PM    | –
–        | 5:50 PM  | 6:10 PM  | –          | 6:30 PM
5:55 PM  | –        | 6:15 PM  | 6:35 PM    | –
–        | 6:00 PM  | 6:20 PM  | –          | 6:40 PM
6:05 PM  | –        | 6:25 PM  | 6:45 PM    | –
–        | 6:10 PM  | 6:30 PM  | –          | 6:50 PM
6:15 PM  | –        | 6:35 PM  | 6:55 PM    | –
–        | 6:20 PM  | 6:40 PM  | –          | 7:00 PM
6:25 PM  | –        | 6:45 PM  | 7:05 PM    | –
–        | 6:30 PM  | 6:50 PM  | –          | 7:10 PM
6:35 PM  | –        | 6:55 PM  | 7:15 PM    | –
–        | 6:40 PM  | 7:00 PM  | –          | 7:20 PM
6:45 PM  | –        | 7:05 PM  | 7:25 PM    | –
–        | 6:50 PM  | 7:10 PM  | –          | 7:30 PM
6:55 PM  | –        | 7:15 PM  | 7:35 PM    | –
–        | 7:00 PM  | 7:20 PM  | –          | 7:40 PM
7:10 PM  | –        | 7:30 PM  | 7:50 PM    | –
–        | 7:30 PM  | 7:50 PM  | –          | 8:10 PM
7:50 PM  | –        | 8:10 PM  | 8:30 PM    | –
–        | 8:10 PM  | 8:30 PM  | –          | 8:50 PM
8:30 PM  | –        | 8:50 PM  | 9:10 PM    | –
–        | 8:50 PM  | 9:10 PM  | –          | 9:30 PM
9:10 PM  | –        | 9:30 PM  | 9:50 PM    | –
–        | 9:30 PM  | 9:50 PM  | –          | 10:10 PM
9:50 PM  | –        | 10:10 PM | 10:30 PM   | –
–        | 10:10 PM | 10:30 PM | –          | 10:50 PM
10:30 PM | –        | 10:50 PM | 11:10 PM   | –
–        | 10:50 PM | 11:10 PM | –          | 11:30 PM
11:10 PM | –        | 11:30 PM | 11:50 PM   | –
–        | 11:30 PM | 11:50 PM | –          | 12:10 AM
11:50 PM | –        | 12:10 AM | 12:30 AM   | –
